outer_fold,initial_label_count,labelled_count,scope,fixed_budget_summary,terminal_consistency_only,strategy_a,strategy_b,jaccard
1,10,100,cumulative,False,False,random,static_easy_entropy,0.25874125874125875
1,10,100,cumulative,False,False,random,self_paced_entropy,0.25
1,10,100,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,100,cumulative,False,False,predictive_entropy,static_easy_entropy,0.37404580152671757
1,10,100,cumulative,False,False,predictive_entropy,self_paced_entropy,0.37404580152671757
1,10,100,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,100,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.5384615384615384
1,10,100,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,105,batch,False,False,random,random,1.0
1,10,105,batch,False,False,random,predictive_entropy,0.0
1,10,105,batch,False,False,random,static_easy_entropy,0.0
1,10,105,batch,False,False,random,self_paced_entropy,0.0
1,10,105,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,105,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,105,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,105,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,105,batch,False,False,static_easy_entropy,self_paced_entropy,0.1111111111111111
1,10,105,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,105,cumulative,False,False,random,random,1.0
1,10,105,cumulative,False,False,random,predictive_entropy,0.2925170068027211
1,10,105,cumulative,False,False,random,static_easy_entropy,0.28378378378378377
1,10,105,cumulative,False,False,random,self_paced_entropy,0.28378378378378377
1,10,105,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,105,cumulative,False,False,predictive_entropy,static_easy_entropy,0.39705882352941174
1,10,105,cumulative,False,False,predictive_entropy,self_paced_entropy,0.4074074074074074
1,10,105,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,105,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.5833333333333334
1,10,105,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,110,batch,True,False,random,random,1.0
1,10,110,batch,True,False,random,predictive_entropy,0.1111111111111111
1,10,110,batch,True,False,random,static_easy_entropy,0.0
1,10,110,batch,True,False,random,self_paced_entropy,0.0
1,10,110,batch,True,False,predictive_entropy,predictive_entropy,1.0
1,10,110,batch,True,False,predictive_entropy,static_easy_entropy,0.0
1,10,110,batch,True,False,predictive_entropy,self_paced_entropy,0.0
1,10,110,batch,True,False,static_easy_entropy,static_easy_entropy,1.0
1,10,110,batch,True,False,static_easy_entropy,self_paced_entropy,0.0
1,10,110,batch,True,False,self_paced_entropy,self_paced_entropy,1.0
1,10,110,cumulative,True,False,random,random,1.0
1,10,110,cumulative,True,False,random,predictive_entropy,0.32450331125827814
1,10,110,cumulative,True,False,random,static_easy_entropy,0.3157894736842105
1,10,110,cumulative,True,False,random,self_paced_entropy,0.3333333333333333
1,10,110,cumulative,True,False,predictive_entropy,predictive_entropy,1.0
1,10,110,cumulative,True,False,predictive_entropy,static_easy_entropy,0.3888888888888889
1,10,110,cumulative,True,False,predictive_entropy,self_paced_entropy,0.48148148148148145
1,10,110,cumulative,True,False,static_easy_entropy,static_easy_entropy,1.0
1,10,110,cumulative,True,False,static_easy_entropy,self_paced_entropy,0.5503875968992248
1,10,110,cumulative,True,False,self_paced_entropy,self_paced_entropy,1.0
1,10,115,batch,False,False,random,random,1.0
1,10,115,batch,False,False,random,predictive_entropy,0.0
1,10,115,batch,False,False,random,static_easy_entropy,0.0
1,10,115,batch,False,False,random,self_paced_entropy,0.0
1,10,115,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,115,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,115,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,115,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,115,batch,False,False,static_easy_entropy,self_paced_entropy,0.1111111111111111
