initial_label_count,strategy,outer_fold,aulc_f1,terminal_labeled_count,terminal_f1,terminal_pr_auc,terminal_roc_auc,terminal_brier,terminal_ece_10
40,hybrid_mi_diverse,4,0.7992773265494278,140,0.8314606741573033,0.9280868107668747,0.8565217391304348,0.14413491228882072,0.14032666977201566
40,hybrid_mi_diverse,5,0.8069437834852935,140,0.8541666666666667,0.9351357621004276,0.8545918367346939,0.141763615338393,0.08984706104471313
40,oed_logdet,1,0.7917320575287888,140,0.8089887640449438,0.934600592820397,0.8458333333333333,0.15577315158065094,0.11073024747478225
40,oed_logdet,2,0.83813038505152,140,0.823529411764706,0.9334510189896362,0.8633333333333333,0.1368109168265142,0.14069420126884918
40,oed_logdet,3,0.8256236604869694,140,0.836734693877551,0.8466367400732369,0.7858333333333334,0.16731779997290142,0.09971187546904083
40,oed_logdet,4,0.8014428380077402,140,0.8181818181818181,0.9427162904267958,0.8695652173913043,0.1408970917158767,0.08806387338283941
40,oed_logdet,5,0.840535582562714,140,0.8421052631578948,0.9339177688282906,0.8639455782312925,0.1414141927262399,0.056123773082417346
40,predictive_entropy,1,0.8230400577551323,140,0.830188679245283,0.8969575779831951,0.8091666666666667,0.16393203307977108,0.14362437961767172
40,predictive_entropy,2,0.8285314641156403,140,0.8602150537634408,0.9245053636564549,0.855,0.13685231615908627,0.07693198158021644
40,predictive_entropy,3,0.8239260327828378,140,0.831858407079646,0.8731841909260338,0.815,0.16034929195394432,0.053430918357252055
40,predictive_entropy,4,0.8259259905856808,140,0.8260869565217391,0.9334292159373349,0.8530434782608696,0.15123654785385282,0.10574254911030692
40,predictive_entropy,5,0.8379753063151913,140,0.7710843373493975,0.9663344898697611,0.935374149659864,0.11236580215123003,0.11060309781449205
40,random,1,0.7775494481460998,140,0.8490566037735849,0.8421963389552263,0.7658333333333334,0.17539721467084166,0.1373870750665306
40,random,2,0.8452686076080631,140,0.8210526315789474,0.9441359103981912,0.88,0.13647442322084108,0.06559462085528131
40,random,3,0.8331601671036353,140,0.8543689320388349,0.8568860607202508,0.8016666666666666,0.15695875302065013,0.06691375378462344
40,random,4,0.7920670807614998,140,0.8453608247422681,0.9305917458407408,0.8608695652173913,0.14151057397785413,0.09345299968123309
40,random,5,0.8059110483626444,140,0.7865168539325842,0.9256987271503128,0.8401360544217688,0.1580078817797595,0.1310442983706714
40,similarity_penalized_mean,1,0.8040462232767304,140,0.691358024691358,0.9013850332292968,0.795,0.17095580897723234,0.11854035437297025
40,similarity_penalized_mean,2,0.8518243549016296,140,0.8737864077669903,0.9386160486556621,0.8675,0.13792064043643026,0.10511799538978077
40,similarity_penalized_mean,3,0.8075437807099536,140,0.8141592920353983,0.8176730248125752,0.7425,0.1832696070480685,0.06145275886428836
40,similarity_penalized_mean,4,0.7865963689574577,140,0.8043478260869565,0.9298003747837813,0.8408695652173913,0.1524939943114817,0.12000902041655125
40,similarity_penalized_mean,5,0.8188757778542417,140,0.8514851485148514,0.9477386116867845,0.8775510204081632,0.1340078111009113,0.09807476781139265
40,ucb,1,0.7879220070058147,140,0.7727272727272727,0.8903576587034517,0.7775,0.17258466740545295,0.11004668197805037
40,ucb,2,0.8524411512624561,140,0.8737864077669903,0.9361689450389814,0.8683333333333333,0.13686229508616193,0.12874601543577804
40,ucb,3,0.8088026407055559,140,0.8173913043478259,0.8412749708397975,0.7625,0.17624164315801397,0.08603750331517938
40,ucb,4,0.7984572835930743,140,0.8453608247422681,0.9300444612045693,0.8469565217391304,0.14735351872484984,0.11977772684674817
40,ucb,5,0.829988861461067,140,0.8539325842696629,0.950930065807865,0.8937074829931972,0.12728201877345616,0.10060436385292446
