mode,initial_label_count,setup,evaluation_dataset,outer_fold_id,strategy,random_final_F1,strategy_final_F1,final_F1_delta_vs_random,win_vs_random
benchmark,40,ensemble_calibrated,holdout,2,cluster_diverse_representative,0.8210526315789474,0.8775510204081632,0.05649838882921587,True
benchmark,40,ensemble_calibrated,holdout,2,ensemble_mean,0.8210526315789474,0.8627450980392156,0.04169246646026825,True
benchmark,40,ensemble_calibrated,holdout,2,ensemble_mi,0.8210526315789474,0.8478260869565217,0.026773455377574362,True
benchmark,40,ensemble_calibrated,holdout,2,family_qbc,0.8210526315789474,0.8712871287128714,0.05023449713392403,True
benchmark,40,ensemble_calibrated,holdout,2,hybrid_mi_diverse,0.8210526315789474,0.8775510204081632,0.05649838882921587,True
benchmark,40,ensemble_calibrated,holdout,2,oed_logdet,0.8210526315789474,0.823529411764706,0.002476780185758587,True
benchmark,40,ensemble_calibrated,holdout,2,predictive_entropy,0.8210526315789474,0.8602150537634408,0.039162422184493395,True
benchmark,40,ensemble_calibrated,holdout,2,similarity_penalized_mean,0.8210526315789474,0.8737864077669903,0.05273377618804298,True
benchmark,40,ensemble_calibrated,holdout,2,ucb,0.8210526315789474,0.8737864077669903,0.05273377618804298,True
benchmark,10,ensemble_calibrated,validation,3,cluster_diverse_representative,0.8641975308641976,0.8505747126436781,-0.013622818220519473,False
benchmark,10,ensemble_calibrated,validation,3,ensemble_mean,0.8641975308641976,0.8433734939759036,-0.02082403688829404,False
benchmark,10,ensemble_calibrated,validation,3,ensemble_mi,0.8641975308641976,0.8444444444444444,-0.019753086419753152,False
benchmark,10,ensemble_calibrated,validation,3,family_qbc,0.8641975308641976,0.8666666666666667,0.0024691358024691024,True
benchmark,10,ensemble_calibrated,validation,3,hybrid_mi_diverse,0.8641975308641976,0.8666666666666667,0.0024691358024691024,True
benchmark,10,ensemble_calibrated,validation,3,oed_logdet,0.8641975308641976,0.8505747126436781,-0.013622818220519473,False
benchmark,10,ensemble_calibrated,validation,3,predictive_entropy,0.8641975308641976,0.8809523809523809,0.016754850088183337,True
benchmark,10,ensemble_calibrated,validation,3,similarity_penalized_mean,0.8641975308641976,0.8421052631578948,-0.022092267706302793,False
benchmark,10,ensemble_calibrated,validation,3,ucb,0.8641975308641976,0.8275862068965516,-0.03661132396764599,False
benchmark,10,ensemble_calibrated,holdout,3,cluster_diverse_representative,0.8288288288288288,0.831858407079646,0.0030295782508171776,True
benchmark,10,ensemble_calibrated,holdout,3,ensemble_mean,0.8288288288288288,0.8256880733944953,-0.003140755434333453,False
benchmark,10,ensemble_calibrated,holdout,3,ensemble_mi,0.8288288288288288,0.8245614035087719,-0.004267425320056861,False
benchmark,10,ensemble_calibrated,holdout,3,family_qbc,0.8288288288288288,0.8245614035087719,-0.004267425320056861,False
benchmark,10,ensemble_calibrated,holdout,3,hybrid_mi_diverse,0.8288288288288288,0.8749999999999999,0.04617117117117109,True
benchmark,10,ensemble_calibrated,holdout,3,oed_logdet,0.8288288288288288,0.8256880733944953,-0.003140755434333453,False
benchmark,10,ensemble_calibrated,holdout,3,predictive_entropy,0.8288288288288288,0.8807339449541285,0.05190511612529969,True
benchmark,10,ensemble_calibrated,holdout,3,similarity_penalized_mean,0.8288288288288288,0.8166666666666667,-0.012162162162162149,False
benchmark,10,ensemble_calibrated,holdout,3,ucb,0.8288288288288288,0.7964601769911505,-0.03236865183767834,False
benchmark,40,ensemble_calibrated,validation,3,cluster_diverse_representative,0.8780487804878048,0.85,-0.028048780487804792,False
benchmark,40,ensemble_calibrated,validation,3,ensemble_mean,0.8780487804878048,0.8333333333333333,-0.04471544715447151,False
benchmark,40,ensemble_calibrated,validation,3,ensemble_mi,0.8780487804878048,0.8695652173913044,-0.008483563096500335,False
benchmark,40,ensemble_calibrated,validation,3,family_qbc,0.8780487804878048,0.8648648648648648,-0.013183915622939968,False
benchmark,40,ensemble_calibrated,validation,3,hybrid_mi_diverse,0.8780487804878048,0.8780487804878048,0.0,False
benchmark,40,ensemble_calibrated,validation,3,oed_logdet,0.8780487804878048,0.8767123287671234,-0.0013364517206814197,False
benchmark,40,ensemble_calibrated,validation,3,predictive_entropy,0.8780487804878048,0.857142857142857,-0.020905923344947785,False
benchmark,40,ensemble_calibrated,validation,3,similarity_penalized_mean,0.8780487804878048,0.8444444444444444,-0.03360433604336033,False
benchmark,40,ensemble_calibrated,validation,3,ucb,0.8780487804878048,0.8260869565217392,-0.05196182396606552,False
benchmark,40,ensemble_calibrated,holdout,3,cluster_diverse_representative,0.8543689320388349,0.8380952380952381,-0.01627369394359679,False
benchmark,40,ensemble_calibrated,holdout,3,ensemble_mean,0.8543689320388349,0.810344827586207,-0.044024104452627943,False
benchmark,40,ensemble_calibrated,holdout,3,ensemble_mi,0.8543689320388349,0.8521739130434782,-0.002195018995356679,False
benchmark,40,ensemble_calibrated,holdout,3,family_qbc,0.8543689320388349,0.8541666666666666,-0.00020226537216827545,False
benchmark,40,ensemble_calibrated,holdout,3,hybrid_mi_diverse,0.8543689320388349,0.8411214953271027,-0.01324743671173223,False
benchmark,40,ensemble_calibrated,holdout,3,oed_logdet,0.8543689320388349,0.836734693877551,-0.017634238161283955,False
