mode,initial_label_count,setup,strategy,evaluation_dataset,n_repeats,mean_final_F1,std_final_F1,median_final_F1,min_final_F1,max_final_F1,mean_AULC_F1,std_AULC_F1,mean_final_PR_AUC,mean_final_ROC_AUC,mean_final_Brier,mean_final_ECE_10
ablation,10,single_raw,random,validation,5,0.8877568701625023,0.035599257284002074,0.88,0.840909090909091,0.9367088607594937,0.859684032624593,0.01959599748241692,0.9301994015187663,0.8694736842105263,0.13486385385743024,0.11699463186501449
ablation,10,single_raw,similarity_penalized_mean,holdout,5,0.8068867284954123,0.013074020744234454,0.8073394495412843,0.7920792079207921,0.8205128205128206,0.7971533406175307,0.024453468952828513,0.872291461764194,0.7655001478852411,0.1965937758323834,0.14848449213450285
ablation,10,single_raw,similarity_penalized_mean,validation,5,0.8605509496810724,0.03675746901931789,0.8604651162790697,0.8210526315789474,0.9047619047619048,0.8390906692547366,0.006315518331839591,0.9002210937817697,0.8099999999999999,0.17134859511403328,0.14293584433400025
ablation,40,ensemble_calibrated,cluster_diverse_representative,holdout,5,0.8216652803582116,0.041623817162731114,0.8297872340425532,0.7529411764705883,0.8571428571428571,0.8270433820706315,0.01881247357611049,0.9104186356114274,0.8485007394262052,0.144813121315954,0.07469487773121467
ablation,40,ensemble_calibrated,cluster_diverse_representative,validation,5,0.8842300027176375,0.04468665020307802,0.8571428571428571,0.8421052631578948,0.9397590361445783,0.8813333301374001,0.03300536281801617,0.9468618854236469,0.881578947368421,0.12905697184238413,0.101408178521459
ablation,40,ensemble_calibrated,ensemble_mean,holdout,5,0.8468295252177223,0.027475302594158375,0.8514851485148515,0.810344827586207,0.8846153846153846,0.8092106068305176,0.021473235759073867,0.9107373253538906,0.8355909494232476,0.15276810827381684,0.11359678644702084
ablation,40,ensemble_calibrated,ensemble_mean,validation,5,0.8657498631636562,0.02309335775534151,0.875,0.8333333333333333,0.888888888888889,0.8672654367826509,0.025001193895638967,0.9198858196266955,0.8394736842105264,0.146674437140552,0.10817117061322852
ablation,40,ensemble_calibrated,oed_logdet,holdout,5,0.8409913700552183,0.025149017813673815,0.836734693877551,0.8089887640449438,0.8695652173913043,0.8241550193485676,0.02663220190472817,0.9182752939216925,0.8486066252587993,0.14672295636470528,0.09920998982592508
ablation,40,ensemble_calibrated,oed_logdet,validation,5,0.8899843090227189,0.03397037159783558,0.8831168831168831,0.8470588235294118,0.9382716049382716,0.8794238685172091,0.028100770457317,0.9441339781415735,0.8871052631578948,0.1247996650892365,0.10566698787035227
ablation,40,ensemble_calibrated,predictive_entropy,holdout,5,0.8289199311006106,0.016482519549442444,0.831858407079646,0.8045977011494253,0.8478260869565217,0.8278394791397631,0.009782821288104432,0.916274356806732,0.8550761608991422,0.14440098494366732,0.11066298223097837
ablation,40,ensemble_calibrated,predictive_entropy,validation,5,0.8886013675668847,0.03750682055282406,0.8735632183908046,0.857142857142857,0.9500000000000001,0.8866999913804575,0.030802272319535803,0.9473419931882783,0.8857894736842106,0.1282722174327782,0.11229136926785524
ablation,40,ensemble_calibrated,random,holdout,5,0.8312711692132438,0.028087870916991095,0.8453608247422681,0.7865168539325842,0.8543689320388349,0.8111153474223742,0.027697406795936096,0.8999017566129444,0.8297011239278321,0.15366312012981664,0.0988637353222723
ablation,40,ensemble_calibrated,random,validation,5,0.8837815262301154,0.033627116758094044,0.8780487804878048,0.8470588235294118,0.9230769230769231,0.8806596928966929,0.029616221877449247,0.9424042259024545,0.8789473684210526,0.13179346739902345,0.07869781906747997
